Date,Open,High,Low,Close,Volume
2014-08-04,631.14,639.18,631.14,638.98,32794020.0
2014-08-11,639.43,642.15,636.48,638.38,29259480.0
2014-08-12,637.22,642.93,635.82,642.08,29056830.0
2014-08-13,639.75,645.16,639.75,644.48,36959640.0
2014-08-14,646.42,650.49,645.85,648.25,44401000.0
2014-08-15,649.62,650.09,645.52,646.67,40852010.0
2014-08-18,646.35,649.18,643.94,648.44,51161380.0
2014-08-19,647.98,650.2,644.7,647.67,45757870.0
2014-08-20,645.9,649.32,643.29,647.74,39984200.0
2014-08-21,644.95,653.44,644.95,650.36,64289560.0
2014-08-22,650.99,657.39,650.99,655.46,69477860.0
2014-08-25,659.13,663.42,657.74,660.79,65925010.0
2014-08-26,665.3,670.29,663.81,668.69,54439070.0
2014-08-27,670.8,674.6,664.19,669.37,67246270.0
2014-08-28,667.35,673.29,666.36,669.92,60041740.0
2014-08-29,672.14,678.68,668.36,678.39,66476960.0
2014-09-03,681.09,684.82,678.48,680.51,76256380.0
2014-09-04,678.4,680.41,675.32,678.06,54149310.0
2014-09-05,678.81,679.7,675.84,677.21,48519790.0
2014-09-08,681.26,683.36,678.41,681.1,58604970.0
2014-09-09,678.83,678.89,659.97,665.49,86775230.0
2014-09-10,663.89,667.55,653.53,667.03,53375860.0
2014-09-11,668.19,670.39,663.84,666.31,46788510.0
2014-09-12,666.15,669.87,664.23,668.37,44512350.0
2014-09-15,670.67,674.09,668.59,671.39,90069390.0
2014-09-16,666.69,668.96,659.97,666.92,72644810.0
2014-09-17,667.79,671.3,664.33,666.88,72164600.0
2014-09-18,665.51,668.2,658.02,660.6,60502070.0
2014-09-19,658.86,662.48,655.34,659.03,47949330.0
2014-09-22,659.72,662.6,656.34,658.02,39182950.0
2014-09-23,652.88,663.41,652.76,660.29,43592110.0
2014-09-24,656.97,661.1,653.34,658.32,40342330.0
2014-09-25,653.53,653.72,642.83,652.72,48745170.0
2014-09-26,655.55,656.44,650.32,650.41,51274160.0
2014-09-29,650.08,650.08,644.16,645.19,43524550.0
2014-10-06,658.84,663.65,658.3,659.55,52364690.0
2014-10-07,661.84,662.16,658.14,660.7,56755350.0
2014-10-08,657.35,661.67,655.15,658.85,50919280.0
2014-10-09,660.9,662.75,658.12,659.61,39635330.0
2014-10-10,655.72,659.11,651.52,653.68,43670840.0
2014-10-13,650.76,653.69,646.51,651.51,34154340.0
2014-10-14,651.91,653.1,643.7,643.7,30564740.0
2014-10-15,640.12,642.63,634.34,640.69,38503530.0
2014-10-16,639.79,639.98,622.03,623.08,62348860.0
2014-10-17,623.36,627.42,613.76,624.43,50432410.0
2014-10-20,624.98,632.52,622.21,630.24,1619055140.0
2014-10-21,627.96,635.36,627.11,635.36,26135580.0
2014-10-22,635.72,639.55,635.02,637.47,39701360.0
2014-10-23,636.33,638.56,630.92,631.83,61507540.0
2014-10-24,629.83,633.04,625.49,629.75,29194390.0
2014-10-27,626.19,628.64,616.18,616.46,36516190.0
2014-10-28,613.23,621.19,613.23,620.12,51505160.0
2014-10-29,620.18,628.6,620.18,625.99,39723460.0
2014-10-30,628.5,630.62,626.5,629.06,32080750.0
2014-10-31,628.53,635.88,626.64,635.83,47410830.0
2014-11-03,644.03,646.76,642.47,645.15,37156310.0
2014-11-04,641.73,644.75,641.17,641.61,30891810.0
2014-11-05,638.9,643.36,633.89,639.04,44990490.0
2014-11-06,638.17,641.39,636.17,639.8,23515050.0
2014-11-07,638.87,643.49,637.07,642.88,49352120.0
2014-11-10,644.05,647.01,643.28,644.15,48881440.0
2014-11-11,643.26,647.1,641.47,643.4,55791680.0
2014-11-12,643.07,644.76,640.58,643.65,41073720.0
2014-11-13,642.4,644.53,639.75,642.29,55718270.0
2014-11-14,638.24,638.71,632.28,638.36,59608840.0
2014-11-17,639.53,640.93,637.18,638.54,35749980.0
2014-11-18,637.12,637.61,630.01,632.13,41579650.0
2014-11-19,628.44,630.64,624.07,624.28,51044480.0
2014-11-20,627.65,630.57,624.87,630.47,73565370.0
2014-11-21,630.63,631.21,624.84,624.91,62628880.0
2014-11-24,620.57,622.24,615.45,618.91,44063200.0
2014-11-25,618.48,624.83,618.48,624.6,38838480.0
2014-11-26,624.68,625.92,615.22,618.45,63716400.0
2014-11-27,615.91,616.56,609.7,613.86,42984890.0
2014-11-28,615.19,616.98,611.68,613.06,49253510.0
2014-12-01,612.86,617.19,612.68,615.76,48628690.0
2014-12-02,615.32,616.16,613.95,615.56,40957360.0
2014-12-03,614.72,621.05,614.72,620.89,42656980.0
2014-12-04,619.43,626.1,619.43,624.71,40108350.0
2014-12-05,625.53,628.13,623.13,625.95,32042500.0
2014-12-08,622.9,623.85,617.1,621.25,38208100.0
2014-12-09,617.02,617.02,603.13,603.13,65164850.0
2014-12-10,601.92,611.51,597.97,611.51,44878960.0
2014-12-11,604.88,612.8,601.84,607.34,38337000.0
2014-12-12,603.35,609.66,603.35,607.61,29219570.0
2014-12-15,607.56,610.59,605.85,606.21,28975120.0
2014-12-16,601.75,602.0,591.28,591.44,44630020.0
2014-12-17,592.34,593.39,563.92,571.21,70424760.0
2014-12-18,573.93,579.73,571.14,579.73,47732480.0
2014-12-19,578.4,582.59,571.28,573.42,52595820.0
2014-12-22,577.08,587.64,576.98,587.37,30167940.0
2014-12-23,589.2,594.41,584.62,591.23,36715130.0
2014-12-24,591.61,593.55,588.17,590.72,22867420.0
2014-12-25,588.63,589.79,584.1,586.69,25475520.0
2014-12-26,585.45,587.46,577.98,584.88,34668630.0
2014-12-29,583.36,589.18,578.53,581.53,39894970.0
2014-12-30,582.65,587.4,578.33,586.84,34473290.0
2014-12-31,592.02,601.93,591.84,600.23,48460700.0
2015-01-05,600.48,604.99,599.84,601.23,44617280.0
