Date,SDC,SDD
3/11/2026,300000000,300000000
3/12/2026,285558777,300000000
3/13/2026,283454917,285558777
3/16/2026,282089561,283454917
3/17/2026,289323015,282089561
3/18/2026,280757907,289323015
3/19/2026,262300629,280757907
3/20/2026,268205139,262300629
3/23/2026,274481208,268205139
3/24/2026,272052702,274481208
3/25/2026,277061144,272052702
3/26/2026,269974539,277061144
3/27/2026,280101921,269974539
3/30/2026,271648366,280101921
3/31/2026,279697640,271648366
4/1/2026,310657294,279697640
4/2/2026,294168041,310657294
4/3/2026,298635196,294168041
4/6/2026,298157216,298635196
4/7/2026,292520826,298157216
4/8/2026,305291379,292520826
4/9/2026,296172773,305291379
4/10/2026,300560547,296172773
4/13/2026,292609445,300560547
4/14/2026,296631925,292609445
4/15/2026,291326419,296631925
4/16/2026,295602211,291326419
4/17/2026,293836945,295602211
4/21/2026,297624866,293836945
4/22/2026,301195110,297624866
4/23/2026,298803952,301195110
4/24/2026,298668076,298803952
4/28/2026,299957909,298668076
4/29/2026,299320428,299957909
5/4/2026,308872419,299320428
5/5/2026,318321794,308872419
5/6/2026,315767805,318321794
5/7/2026,326506134,315767805
5/8/2026,319456789,326506134
5/11/2026,323372187,319456789
5/12/2026,321469464,323372187
5/13/2026,316189156,321469464
5/14/2026,320642285,316189156
5/15/2026,319677575,320642285
5/18/2026,320981387,319677575
5/19/2026,327444526,320981387
5/20/2026,319348568,327444526
5/21/2026,318712287,319348568
5/22/2026,312085857,318712287
5/25/2026,310887255,312085857
5/26/2026,308594869,310887255
5/27/2026,302442047,308594869
5/28/2026,301587799,302442047
5/29/2026,299774653,301587799
6/1/2026,298378973,299774653
6/2/2026,302282246,298378973
6/3/2026,292903123,302282246
6/4/2026,287612413,292903123
6/5/2026,286802186,287612413
6/8/2026,304787790,286802186
06/09/2026,300913702,304787790
